id,cluster_id,x,y,z
0,B,10.1,10.2,10.1
1,D,14.8,10.2,10.599999999999998
2,B,9.65,12.6,9.28
3,B,10.4,10.7,10.0
4,B,10.2,11.0,9.37
5,A,24.2,30.0,29.2
6,B,9.56,9.020000000000001,9.49
7,B,10.7,10.5,9.72
8,B|2,8.4,16.7,8.28
9,A,20.4,29.8,29.5
10,B,10.1,9.77,9.63
11,"(A|1,C)",36.4,29.9,29.7
12,B,10.1,10.4,10.1
13,"(A|1,C)",36.2,31.0,31.3
14,B|1|1,10.5,9.63,18.0
15,B,10.7,10.5,10.0
16,A,19.8,30.6,31.7
17,B,10.5,8.99,11.3
18,B,10.900000000000002,12.1,9.23
19,"(A|1,C)",32.0,29.7,28.6
20,B|1|1,6.220000000000001,9.18,18.4
21,B|1|1,7.65,9.65,19.2
22,"(A|1,C)",35.7,30.8,28.3
23,B|1|1,6.51,8.510000000000002,18.8
24,B,9.79,8.78,9.43
25,B,11.000000000000002,11.200000000000001,7.64
26,B|1|1,10.1,8.41,18.1
27,B,8.72,9.21,10.599999999999998
28,B,10.7,13.5,10.5
29,A,22.000000000000004,29.5,30.2
30,D,17.1,8.27,10.0
31,G,11.3,17.300000000000004,3.83
32,B,10.1,8.31,10.9
33,B|2,9.2,18.600000000000005,11.1
34,B|2,8.91,16.2,10.4
35,"(A|1,C)",35.5,30.9,30.2
36,"(A|1,C)",35.1,29.8,29.0
37,B|1|1,10.5,10.7,16.5
38,D,18.3,10.6,10.7
39,"(A|1,C)",33.7,29.6,30.7
40,B,10.3,9.32,10.4
41,B,10.7,9.55,10.1
42,B|1,10.5,8.87,14.0
43,A,21.7,30.8,30.6
44,A,22.999999999999996,30.099999999999998,30.8
45,B|1,10.0,9.89,13.7
46,"(A|1,C)",33.8,31.1,30.8
47,B,10.5,8.31,9.81
48,B,8.5,10.4,8.23
49,B,9.86,13.7,9.98
50,B|2,9.17,14.7,10.5
51,"(A|1,C)",38.2,30.2,30.5
52,B,10.1,10.8,10.7
53,B|1|1,10.1,11.4,15.8
54,B|1,10.1,9.35,14.7
55,B|2,10.1,15.6,10.3
56,B,9.25,9.34,8.94
57,D,15.0,9.7,11.6
58,D,16.1,10.9,11.2
59,B|1,8.75,9.97,12.9
60,A,22.400000000000002,28.6,31.5
61,B,8.23,10.2,9.870000000000001
62,B,11.8,9.89,11.1
63,B,10.1,9.04,11.5
64,B|2,9.8,18.2,10.8
65,B|1,12.4,9.63,12.9
66,"(A|1,C)",36.1,28.4,30.9
67,B|2,10.0,18.3,7.21
68,"(A|1,C)",32.5,31.3,28.1
69,B,10.800000000000002,10.6,9.43
70,B|1|1,2.35,11.1,18.1
71,D,13.6,10.1,9.01
72,B|1|1,6.070000000000001,11.1,17.2
73,B|1,10.5,11.5,13.3
74,B,8.65,12.4,11.2
75,F,18.8,4.59,10.7
76,B|2,10.2,17.1,8.22
77,B,9.47,14.3,9.53
78,A,21.0,32.0,30.4
79,B,9.89,10.6,11.2
80,"(A|1,C)",35.3,30.099999999999998,29.6
