x,y,z,PopName
10.1,10.2,10.1,B
14.8,10.2,10.6,B
9.7,12.6,9.3,B
10.4,10.7,10.0,B
10.2,11.0,9.4,B
24.2,30.0,29.2,D
9.6,9.0,9.5,B
10.7,10.5,9.7,B
8.4,16.7,8.3,B
20.4,29.8,29.5,D
10.1,9.8,9.6,B
36.4,29.9,29.7,C
10.1,10.4,10.1,B
36.2,31.0,31.3,C
10.5,9.6,18.0,B
10.7,10.5,10.0,B
19.8,30.6,31.7,D
10.5,9.0,11.3,B
10.9,12.1,9.2,B
32.0,29.7,28.6,C
6.2,9.2,18.4,B
7.6,9.6,19.2,B
35.7,30.8,28.3,C
6.5,8.5,18.8,B
9.8,8.8,9.4,B
11.0,11.2,7.6,B
10.1,8.4,18.1,B
8.7,9.2,10.6,B
10.7,13.5,10.5,B
22.0,29.5,30.2,D
17.1,8.3,10.0,B
11.3,17.3,3.8,B
10.1,8.3,10.9,B
9.2,18.6,11.1,B
8.9,16.2,10.4,B
35.5,30.9,30.2,C
35.1,29.8,29.0,C
10.5,10.7,16.5,B
18.3,10.6,10.7,B
33.7,29.6,30.7,C
10.3,9.3,10.4,B
10.7,9.6,10.1,B
10.5,8.9,14.0,B
21.7,30.8,30.6,D
23.0,30.1,30.8,D
10.0,9.9,13.7,B
33.8,31.1,30.8,C
10.5,8.3,9.8,B
8.5,10.4,8.2,B
9.9,13.7,10.0,B
9.2,14.7,10.5,B
38.2,30.2,30.5,C
10.1,10.8,10.7,B
10.1,11.4,15.8,B
10.1,9.3,14.7,B
10.1,15.6,10.3,B
9.3,9.3,8.9,B
15.0,9.7,11.6,B
16.1,10.9,11.2,B
8.8,10.0,12.9,B
22.4,28.6,31.5,D
8.2,10.2,9.9,B
11.8,9.9,11.1,B
10.1,9.0,11.5,B
9.8,18.2,10.8,B
12.4,9.6,12.9,B
36.1,28.4,30.9,C
10.0,18.3,7.2,B
32.5,31.3,28.1,C
10.8,10.6,9.4,B
2.4,11.1,18.1,B
13.6,10.1,9.0,B
6.1,11.1,17.2,B
10.5,11.5,13.3,B
8.7,12.4,11.2,B
